




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2021-11-16
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20595)	upload_1 (96)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
intracellular membrane-bounded organelle (GO:0043231)	12075	77	56.29	+	1.37	9.72E-06	6.57E-04
membrane (GO:0016020)	9911	62	46.20	+	1.34	1.41E-03	4.85E-02
membrane-bounded organelle (GO:0043227)	13136	82	61.23	+	1.34	3.33E-06	2.50E-04
intracellular anatomical structure (GO:0005622)	14868	90	69.30	+	1.30	1.40E-07	2.19E-05
organelle (GO:0043226)	13963	83	65.09	+	1.28	3.98E-05	2.31E-03
intracellular organelle (GO:0043229)	13156	78	61.32	+	1.27	2.62E-04	1.10E-02
cellular anatomical entity (GO:0110165)	18761	96	87.45	+	1.10	2.15E-04	9.29E-03
cellular_component (GO:0005575)	18906	96	88.13	+	1.09	5.19E-04	1.91E-02
integral component of membrane (GO:0016021)	5788	8	26.98	-	.30	3.21E-06	2.83E-04
intrinsic component of membrane (GO:0031224)	5947	8	27.72	-	.29	1.27E-06	1.43E-04
Unclassified (UNCLASSIFIED)	1689	0	7.87	-	 < 0.01	5.19E-04	1.95E-02
